# Generated by generate_dummy_data.py on 2025-09-10T19:19:03.802143Z
id,meter_id,agent_id,status,estimated_time,assigned_at,completed_at,completion_notes,created_at,updated_at
208b1ee1-6331-43b7-99dc-86ace640fd68,d5e59d37-bfa4-4fe4-9ec1-774122e89c75,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,completed,30,2025-08-10T19:19:03.792277Z,2025-08-11T12:19:03.792277Z,,2025-08-10T19:19:03.792277Z,2025-08-11T12:19:03.792277Z
d3372e7c-6bdc-4685-a4a9-7acf3d46232b,198de46a-5668-4e28-9ba6-ac4a7dbd3298,4646944b-b09d-497d-bf6c-8cd5a9ece57f,in_progress,45,2025-08-24T19:19:03.792332Z,,,2025-08-24T19:19:03.792332Z,2025-08-24T19:19:03.792332Z
0ca73ba8-83c6-4138-8f4b-08aeddc4c527,b246afd5-b25c-44a7-b43b-8e47348ed56e,738b9849-27fd-4b11-9504-00b5daf86ced,completed,15,2025-08-15T19:19:03.792346Z,2025-08-16T02:19:03.792346Z,Pretty section degree still even no.,2025-08-15T19:19:03.792346Z,2025-08-16T02:19:03.792346Z
49c909cd-2393-4a33-b5f0-b3ab04b8ea76,f327234d-3556-4302-ae97-68702285755f,738b9849-27fd-4b11-9504-00b5daf86ced,completed,30,2025-09-05T19:19:03.792397Z,2025-09-06T05:19:03.792397Z,Case past only drug prove.,2025-09-05T19:19:03.792397Z,2025-09-06T05:19:03.792397Z
c50a67cc-39db-4014-84b6-8cf75a7d9862,cb3e9a9b-d77d-48eb-87b5-1ed6b1c5d545,4646944b-b09d-497d-bf6c-8cd5a9ece57f,pending,60,2025-07-20T19:19:03.792419Z,,,2025-07-20T19:19:03.792419Z,2025-07-20T19:19:03.792419Z
db75799d-c5ca-45d2-af65-5b56416345ef,41e179ad-4804-4996-a112-f8c1eee3b1ef,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,in_progress,90,2025-08-07T19:19:03.792428Z,,,2025-08-07T19:19:03.792428Z,2025-08-07T19:19:03.792428Z
52b68307-0f45-4eec-8e69-839ed131bfc8,bdaf6910-fc3d-4bf4-9ecb-f0af723d7b00,98096be2-ec9f-42cd-bec0-54f54b48c219,overdue,30,2025-08-31T19:19:03.792437Z,,,2025-08-31T19:19:03.792437Z,2025-08-31T19:19:03.792437Z
e06a7162-4818-4a99-9974-a762cd9ae9f5,f3e5dcea-db16-4cff-820b-16d1f40d48aa,88aab07d-65ad-43ca-95b4-81031d7605d0,completed,30,2025-09-03T19:19:03.792445Z,2025-09-05T03:19:03.792445Z,Difficult do beyond form line race case.,2025-09-03T19:19:03.792445Z,2025-09-05T03:19:03.792445Z
dc744bbd-dc6a-4658-9741-c45bdbbfb568,7c17d6b1-cc99-4074-b3eb-3bb3f7680f4b,738b9849-27fd-4b11-9504-00b5daf86ced,pending,30,2025-07-02T19:19:03.792465Z,,,2025-07-02T19:19:03.792465Z,2025-07-02T19:19:03.792465Z
4d645e67-834c-4df5-9461-26dcde7ec2aa,b246afd5-b25c-44a7-b43b-8e47348ed56e,88aab07d-65ad-43ca-95b4-81031d7605d0,in_progress,15,2025-07-09T19:19:03.792473Z,,,2025-07-09T19:19:03.792473Z,2025-07-09T19:19:03.792473Z
563ee4a0-bff5-471a-82cd-62036cc81a6e,862d0b56-514c-4755-96a1-cb70773d3ae8,88aab07d-65ad-43ca-95b4-81031d7605d0,completed,30,2025-07-09T19:19:03.792481Z,2025-07-11T10:19:03.792481Z,Within citizen present thing little practice sense.,2025-07-09T19:19:03.792481Z,2025-07-11T10:19:03.792481Z
352e84d7-42c6-48a2-bfa0-6b2fc2bbff6d,6b6891ee-59b6-48b0-8aa2-53477ee02ce6,88aab07d-65ad-43ca-95b4-81031d7605d0,pending,60,2025-08-05T19:19:03.792500Z,,,2025-08-05T19:19:03.792500Z,2025-08-05T19:19:03.792500Z
f9a8fe43-72db-403b-ba0b-1911fa80abf0,8f654c3f-3147-45ce-a1b4-068c3693b652,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,pending,15,2025-08-31T19:19:03.792508Z,,,2025-08-31T19:19:03.792508Z,2025-08-31T19:19:03.792508Z
cd551d2f-cf55-4fb6-a59d-6ed2262083e9,f38c1138-651e-4d56-8a41-75dcb4aa08be,98096be2-ec9f-42cd-bec0-54f54b48c219,in_progress,60,2025-08-13T19:19:03.792515Z,,,2025-08-13T19:19:03.792515Z,2025-08-13T19:19:03.792515Z
ed49f920-7915-461f-bc95-2743a5a7ac51,e700bb12-995e-45bf-a953-f08a504782e9,98096be2-ec9f-42cd-bec0-54f54b48c219,in_progress,120,2025-06-17T19:19:03.792523Z,,,2025-06-17T19:19:03.792523Z,2025-06-17T19:19:03.792523Z
aed44172-b441-4115-9427-2a33e864152f,d43de0c7-65bb-4413-b145-ae83c996407c,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,completed,60,2025-08-01T19:19:03.792531Z,2025-08-03T15:19:03.792531Z,,2025-08-01T19:19:03.792531Z,2025-08-03T15:19:03.792531Z
dea7adb8-4e92-4331-9022-b5d97c600bc6,41cd4eb7-9dbd-4578-91b7-c48d6c38fd8c,738b9849-27fd-4b11-9504-00b5daf86ced,pending,90,2025-07-03T19:19:03.792540Z,,,2025-07-03T19:19:03.792540Z,2025-07-03T19:19:03.792540Z
07ca6bbd-5bb4-4a87-a91b-6a3d2002b4af,ac97bdca-72e6-4251-b04f-145e78a44e3d,738b9849-27fd-4b11-9504-00b5daf86ced,cancelled,30,2025-07-16T19:19:03.792548Z,2025-07-17T16:19:03.792548Z,Assignment cancelled: Fly position traditional become off.,2025-07-16T19:19:03.792548Z,2025-07-17T16:19:03.792548Z
74ff734f-4e1b-4dce-a47e-ea5fbfe60f0e,62833521-fd8f-433c-866f-e01f7e604227,88aab07d-65ad-43ca-95b4-81031d7605d0,in_progress,60,2025-07-10T19:19:03.792567Z,,,2025-07-10T19:19:03.792567Z,2025-07-10T19:19:03.792567Z
634b697c-7247-4d4a-a884-b5317ece3184,20f78045-a2cb-4c29-bee0-95247e73e876,88aab07d-65ad-43ca-95b4-81031d7605d0,in_progress,45,2025-07-12T19:19:03.792575Z,,,2025-07-12T19:19:03.792575Z,2025-07-12T19:19:03.792575Z
167e8d9d-e352-48c8-b691-ebb3d2c7580c,021bac62-3650-4157-b179-5e3affa6dbe2,4646944b-b09d-497d-bf6c-8cd5a9ece57f,pending,120,2025-08-18T19:19:03.792582Z,,,2025-08-18T19:19:03.792582Z,2025-08-18T19:19:03.792582Z
b810e025-7c17-40ea-b4bd-436f99e5a5a9,b3264139-3243-4aa8-a24f-7265271d3aba,88aab07d-65ad-43ca-95b4-81031d7605d0,pending,60,2025-09-04T19:19:03.792590Z,,,2025-09-04T19:19:03.792590Z,2025-09-04T19:19:03.792590Z
f75286f4-19fc-469b-afe3-2d113277a571,b129130e-39ab-455a-8971-a81573a51fb5,98096be2-ec9f-42cd-bec0-54f54b48c219,in_progress,45,2025-07-28T19:19:03.792598Z,,,2025-07-28T19:19:03.792598Z,2025-07-28T19:19:03.792598Z
455d3198-4291-44ed-81b5-079333cd9dcf,bd0ff200-4a48-42a3-94c6-335c94ce412e,98096be2-ec9f-42cd-bec0-54f54b48c219,pending,90,2025-08-29T19:19:03.792606Z,,,2025-08-29T19:19:03.792606Z,2025-08-29T19:19:03.792606Z
5ad73e2e-d8d8-4340-bf02-7cd93ee4e6f8,5d11d1f1-428c-489c-b2ec-2cd470d05ff0,98096be2-ec9f-42cd-bec0-54f54b48c219,completed,30,2025-07-16T19:19:03.792614Z,2025-07-19T17:19:03.792614Z,,2025-07-16T19:19:03.792614Z,2025-07-19T17:19:03.792614Z
4f80c044-fbcd-45c8-879e-ccfca9df3834,4653dedf-fe0a-46f8-bf84-3b108e6cb5ba,4646944b-b09d-497d-bf6c-8cd5a9ece57f,completed,60,2025-08-27T19:19:03.792624Z,2025-08-28T20:19:03.792624Z,School sure also TV individual study value.,2025-08-27T19:19:03.792624Z,2025-08-28T20:19:03.792624Z
ba9ab709-9fdd-4312-a34c-4abf00e70050,cb3e9a9b-d77d-48eb-87b5-1ed6b1c5d545,4646944b-b09d-497d-bf6c-8cd5a9ece57f,in_progress,30,2025-07-23T19:19:03.792642Z,,,2025-07-23T19:19:03.792642Z,2025-07-23T19:19:03.792642Z
cd7d469c-6cba-4fef-934a-4e49b3ce037d,20f78045-a2cb-4c29-bee0-95247e73e876,98096be2-ec9f-42cd-bec0-54f54b48c219,in_progress,30,2025-07-06T19:19:03.792650Z,,,2025-07-06T19:19:03.792650Z,2025-07-06T19:19:03.792650Z
f1c98b3c-691b-44c0-af8f-9355548c33b5,4d82a031-88bc-4fd6-98cc-6695ac1427f5,4646944b-b09d-497d-bf6c-8cd5a9ece57f,in_progress,120,2025-07-24T19:19:03.792658Z,,,2025-07-24T19:19:03.792658Z,2025-07-24T19:19:03.792658Z
bb60cacc-dd92-409d-b86e-f279f641b1e3,41c53522-dff3-4d6a-b528-5920dbb5b0f3,88aab07d-65ad-43ca-95b4-81031d7605d0,completed,120,2025-08-09T19:19:03.792667Z,2025-08-11T12:19:03.792667Z,,2025-08-09T19:19:03.792667Z,2025-08-11T12:19:03.792667Z
850dea02-031a-49ff-ade6-a0bbf4945501,10ada358-d225-4e86-b0ce-ec99e0b0a374,88aab07d-65ad-43ca-95b4-81031d7605d0,pending,60,2025-07-15T19:19:03.792677Z,,,2025-07-15T19:19:03.792677Z,2025-07-15T19:19:03.792677Z
01cb32ac-d0dd-425c-ba3f-d8caf4fef298,f580763d-0ef3-4a1b-bf53-32b094ded50b,98096be2-ec9f-42cd-bec0-54f54b48c219,overdue,90,2025-06-19T19:19:03.792684Z,,,2025-06-19T19:19:03.792684Z,2025-06-19T19:19:03.792684Z
8f31de8e-8e11-46e9-851f-7a71e485cc5f,49436430-5088-4d18-b715-1fba4817f3a3,4646944b-b09d-497d-bf6c-8cd5a9ece57f,in_progress,45,2025-08-01T19:19:03.792692Z,,,2025-08-01T19:19:03.792692Z,2025-08-01T19:19:03.792692Z
9c8956fd-d053-43fd-aed9-f88141e03690,d2f5d738-15af-4c64-8a3c-9c2e4c52f810,88aab07d-65ad-43ca-95b4-81031d7605d0,completed,60,2025-08-29T19:19:03.792700Z,2025-09-01T15:19:03.792700Z,,2025-08-29T19:19:03.792700Z,2025-09-01T15:19:03.792700Z
e3d97d17-4dfc-4250-a20f-6f65828cb4b8,2c598a7d-b01c-4a42-b200-b602b56e1270,98096be2-ec9f-42cd-bec0-54f54b48c219,in_progress,90,2025-06-29T19:19:03.792709Z,,,2025-06-29T19:19:03.792709Z,2025-06-29T19:19:03.792709Z
