# Generated by generate_dummy_data.py on 2025-09-10T19:19:03.798929Z
id,meter_id,agent_id,reading_value,reading_timestamp,photo_url,notes,location,verified,created_at
74ed63b7-7e3b-400f-98a0-5bde1c6d6e56,90c1579f-dd13-48ab-9971-346ce36606ba,88aab07d-65ad-43ca-95b4-81031d7605d0,8367.38,2025-08-31T19:19:03.781687Z,,,SRID=4326;POINT(3.5416147903763386 8.516666802966135),True,2025-08-31T20:08:03.781687Z
3d231fc3-e547-4475-a18d-da62a473a0d4,3d0e8fde-8330-4170-a3b0-31b55f39979f,738b9849-27fd-4b11-9504-00b5daf86ced,8545.59,2025-08-11T19:19:03.781712Z,,Indeed lot line lead certain.,SRID=4326;POINT(3.4523608305852007 8.575643233224234),False,2025-08-11T20:05:03.781712Z
0e60eac4-f6af-4a9c-9578-a81ba146cfab,9cb86da5-413c-4b6a-8cb6-cb0c7f4ee5f4,4646944b-b09d-497d-bf6c-8cd5a9ece57f,3180.52,2025-08-26T19:19:03.781739Z,https://picsum.photos/200/300?image=3,,SRID=4326;POINT(5.420022510719057 10.58103038408668),True,2025-08-26T19:43:03.781739Z
c8ae9683-42f0-46cb-a918-00c42036b82c,6b6891ee-59b6-48b0-8aa2-53477ee02ce6,4646944b-b09d-497d-bf6c-8cd5a9ece57f,9632.19,2025-08-18T19:19:03.781752Z,,,SRID=4326;POINT(5.553807279136379 10.47772345636944),True,2025-08-18T19:49:03.781752Z
d03e140f-8473-44b6-9d0b-16245fb982dd,d4ae1e47-677b-440a-a1b6-e59158ed41eb,4646944b-b09d-497d-bf6c-8cd5a9ece57f,8893.58,2025-08-14T19:19:03.781764Z,https://picsum.photos/200/300?image=5,,SRID=4326;POINT(5.417356819347229 10.57868832550476),False,2025-08-14T20:18:03.781764Z
5d664c1d-0408-4abc-a540-0d21996398a6,f327234d-3556-4302-ae97-68702285755f,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,2495.12,2025-09-09T19:19:03.781776Z,,Two meet these tell everybody.,SRID=4326;POINT(4.455517693258414 9.471927951795479),False,2025-09-09T19:40:03.781776Z
a3e9feed-5f42-4257-9d7d-483cf9a25ba0,4d82a031-88bc-4fd6-98cc-6695ac1427f5,88aab07d-65ad-43ca-95b4-81031d7605d0,1569.57,2025-08-30T19:19:03.781797Z,,,SRID=4326;POINT(4.480236521801487 9.578824050802),False,2025-08-30T19:57:03.781797Z
2ae6b739-d368-4fea-81cf-cca28d9d5a10,10ada358-d225-4e86-b0ce-ec99e0b0a374,88aab07d-65ad-43ca-95b4-81031d7605d0,4790.51,2025-08-27T19:19:03.781809Z,,,SRID=4326;POINT(5.44129208819515 10.4647920107668),True,2025-08-27T20:12:03.781809Z
b9f1692e-7e6a-4e6d-8ae7-5be16aa791f7,2f2bd186-e621-4a3c-b521-f148d41aae8a,98096be2-ec9f-42cd-bec0-54f54b48c219,1419.22,2025-08-11T19:19:03.781819Z,,,SRID=4326;POINT(3.430687140086849 8.523404633554437),True,2025-08-11T19:45:03.781819Z
05632189-ed21-4308-a7d4-5d382aebc5e0,cb3e9a9b-d77d-48eb-87b5-1ed6b1c5d545,88aab07d-65ad-43ca-95b4-81031d7605d0,5264.91,2025-08-21T19:19:03.781830Z,,,SRID=4326;POINT(4.591542726972828 9.497618912920052),True,2025-08-21T19:24:03.781830Z
e3f5b798-5b73-48f8-9b3f-178b34a792f6,10ada358-d225-4e86-b0ce-ec99e0b0a374,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,4919.93,2025-08-18T19:19:03.781840Z,,,SRID=4326;POINT(5.441591761805161 10.464616203275822),True,2025-08-18T20:10:03.781840Z
88a5dcfe-8104-45ba-91c6-80039c36d4a3,41cd4eb7-9dbd-4578-91b7-c48d6c38fd8c,98096be2-ec9f-42cd-bec0-54f54b48c219,301.99,2025-08-20T19:19:03.781850Z,https://picsum.photos/200/300?image=12,,SRID=4326;POINT(3.5005581615612793 8.563449634501998),True,2025-08-20T20:09:03.781850Z
5d56dbd7-6ca6-4353-8069-7be28e14fd62,41cd4eb7-9dbd-4578-91b7-c48d6c38fd8c,98096be2-ec9f-42cd-bec0-54f54b48c219,9303.45,2025-08-28T19:19:03.781861Z,https://picsum.photos/200/300?image=13,,SRID=4326;POINT(3.4996649041886947 8.56399171421587),True,2025-08-28T19:33:03.781861Z
c3e91ac9-368a-430e-8ed2-53d6d9e7721d,8f654c3f-3147-45ce-a1b4-068c3693b652,4646944b-b09d-497d-bf6c-8cd5a9ece57f,5993.83,2025-08-21T19:19:03.781871Z,,,SRID=4326;POINT(4.55456816071145 9.528372560220781),True,2025-08-21T19:47:03.781871Z
3d79f468-74c7-45ad-87f9-db4345b65c0d,23f79682-9612-4a73-9bf8-fc674d93414f,88aab07d-65ad-43ca-95b4-81031d7605d0,2652.58,2025-08-13T19:19:03.781881Z,,,SRID=4326;POINT(5.489234099294048 10.548421037138462),True,2025-08-13T19:21:03.781881Z
aab26c89-97b7-484e-b5fa-f7091c2361fe,92021eba-62bc-404e-b54a-59e4ffe9171a,98096be2-ec9f-42cd-bec0-54f54b48c219,3853.94,2025-08-17T19:19:03.781892Z,https://picsum.photos/200/300?image=16,Future skin environment able rise study.,SRID=4326;POINT(5.474684289990416 10.55097718728804),False,2025-08-17T19:20:03.781892Z
350e1533-9f17-428e-b306-3cbb6ffd8e6d,cc0e878f-817b-4be7-b600-74e8911a080b,98096be2-ec9f-42cd-bec0-54f54b48c219,1691.49,2025-08-12T19:19:03.781911Z,,,SRID=4326;POINT(4.903837717205204 9.958979336708031),False,2025-08-12T20:02:03.781911Z
82313132-c609-4f2f-aa24-e271aa6192e4,30dbc74c-3c9e-491a-9cc3-c45c6acd5010,4646944b-b09d-497d-bf6c-8cd5a9ece57f,4390.66,2025-08-17T19:19:03.781922Z,https://picsum.photos/200/300?image=18,,SRID=4326;POINT(3.9912915448280035 8.982634225009985),True,2025-08-17T20:05:03.781922Z
270ece3a-8ba2-4700-944d-90a5e82cd1c1,6c2aaf2e-9111-4c0d-971e-951966b17721,88aab07d-65ad-43ca-95b4-81031d7605d0,6018.35,2025-09-04T19:19:03.781933Z,,Your majority chance Mrs generation necessary myself lay.,SRID=4326;POINT(4.08791147788493 9.04588688182982),True,2025-09-04T20:04:03.781933Z
c10f167e-d4be-4665-9dc2-77acb30135b5,30dbc74c-3c9e-491a-9cc3-c45c6acd5010,738b9849-27fd-4b11-9504-00b5daf86ced,2069.75,2025-08-28T19:19:03.781952Z,https://picsum.photos/200/300?image=20,,SRID=4326;POINT(3.9910749747507617 8.982006053535521),True,2025-08-28T19:46:03.781952Z
1c8309ea-acf6-4ee3-a30d-6c302b27b3d8,30dbc74c-3c9e-491a-9cc3-c45c6acd5010,4646944b-b09d-497d-bf6c-8cd5a9ece57f,3246.13,2025-08-18T19:19:03.781962Z,https://picsum.photos/200/300?image=21,,SRID=4326;POINT(3.9899780172531485 8.981737490160011),True,2025-08-18T19:44:03.781962Z
54cfe7e9-ee3f-4fcf-a71f-aa67a3dcfe26,41c53522-dff3-4d6a-b528-5920dbb5b0f3,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,8923.19,2025-08-18T19:19:03.781972Z,,,SRID=4326;POINT(5.4251604677303185 10.512932670915431),True,2025-08-18T20:01:03.781972Z
fd5ff23b-2c89-4c0a-99ad-4638a1d2c4f7,c4e89c69-cd4e-49f2-8871-8bdf77017cec,3f68e10c-fb15-4bfa-a854-b3d4c457bb87,562.32,2025-09-07T19:19:03.781982Z,,Thank wonder draw him task improve.,SRID=4326;POINT(4.480702565061328 9.408297820534333),True,2025-09-07T19:31:03.781982Z
fc61bf63-42dc-421b-b4eb-e9df583a8ed1,4fe21e46-2abb-4e36-8b5b-6dc42664feb6,98096be2-ec9f-42cd-bec0-54f54b48c219,4691.84,2025-08-16T19:19:03.782001Z,,,SRID=4326;POINT(4.418249653429746 9.446242784805925),True,2025-08-16T20:14:03.782001Z
ee8d1055-2522-42c7-865a-494dd788ad41,f57f8f23-fa8c-41e0-9816-5553db320a17,738b9849-27fd-4b11-9504-00b5daf86ced,2911.99,2025-08-25T19:19:03.782011Z,,Seat relate specific history professional star.,SRID=4326;POINT(4.486042726393207 9.513810906778685),False,2025-08-25T19:27:03.782011Z
a6f3c580-a68f-4266-ba1d-de063e46111c,bf64066f-8afe-480b-8bfe-0d820fb0d946,98096be2-ec9f-42cd-bec0-54f54b48c219,9476.46,2025-08-18T19:19:03.782029Z,https://picsum.photos/200/300?image=26,,SRID=4326;POINT(3.9528065206516647 8.941102966359987),True,2025-08-18T19:54:03.782029Z
4fac8eab-2e3b-4ca9-ac18-3e79345b75ea,9100859a-212f-4129-9c34-8404a677a439,98096be2-ec9f-42cd-bec0-54f54b48c219,8459.62,2025-08-21T19:19:03.782039Z,,Manager already maybe opportunity.,SRID=4326;POINT(4.066360180759148 8.908071441016753),True,2025-08-21T19:47:03.782039Z
